article_id,leadership_model,objective,equity_frame,risk_cues,placement_domain,implications_for_accel
1,street-level bureaucracy / sensemaking,Climate & culture / relationships,Not discussed / implicit only,Student social-emotional harm / “not ready” narratives,Not discussed / implicit only,"reluctance is described as “largely due to student well-being considerations,”"
2,Instructional leadership,Teaching & learning / student achievement,Not discussed / implicit only,Not discussed,Not discussed / implicit only,Ambiguous or not clearly implied
3,Instructional leadership,Teaching & learning / student achievement,Not discussed / implicit only,Not discussed,Not discussed / implicit only,Ambiguous or not clearly implied
4,Mixed/multiple models,Teaching & learning / student achievement,Not discussed / implicit only,Not discussed,Not discussed / implicit only,Ambiguous or not clearly implied
5,Mixed/multiple models,Stability / smooth operation / order,Not discussed / implicit only,Not discussed,Not discussed / implicit only,Ambiguous or not clearly implied
6,Other (specify in notes),Stability / smooth operation / order,Not discussed / implicit only,Not discussed,Not discussed / implicit only,"Cautious/conditional (trial periods, heavy monitoring, lots of safeguards)"
7,Social-justice / equity-centered leadership,Equity & inclusion,Structural/critical: equity ≈ changing systems that reproduce inequality,Not discussed,Structural/critical: equity ≈ changing systems that reproduce inequality,Ambiguous or not clearly implied
8,Social-justice / equity-centered leadership,Equity & inclusion,Structural/critical: equity ≈ changing systems that reproduce inequality,Not discussed,Structural/critical: equity ≈ changing systems that reproduce inequality,Ambiguous or not clearly implied
9,Social-justice / equity-centered leadership,Equity & inclusion,Structural/critical: equity ≈ changing systems that reproduce inequality,Not discussed,Structural/critical: equity ≈ changing systems that reproduce inequality,Ambiguous or not clearly implied
10,Other (specify in notes),Equity & inclusion,Access/representation: equity ≈ diversifying who gets into advanced/valued opportunities,Not discussed,Access/representation: equity ≈ diversifying who gets into advanced/valued opportunities,Ambiguous or not clearly implied
11,Distributed/shared leadershp,Teaching & learning / student achievement,Access/representation: equity ≈ diversifying who gets into advanced/valued opportunities,Not discussed,Access/representation: equity ≈ diversifying who gets into advanced/valued opportunities,Ambiguous or not clearly implied
12,street-level bureaucracy / sensemaking,Climate & culture / relationships,Not discussed / implicit only,Student social-emotional harm / “not ready” narratives,Not discussed / implicit only,Resistant/discouraging
13,Managerial/bureaucratic leadership,Teaching & learning / student achievement,"Procedural fairness: equity ≈ transparent, consistent process, regardless of outcome","Student social-emotional harm / “not ready” narratives, Scheduling/logistical chaos, Other (specify)","Procedural fairness: equity ≈ transparent, consistent process, regardless of outcome",supportive of acceleration
14,Managerial/bureaucratic leadership,Teaching & learning / student achievement,Not discussed / implicit only,"Not discussed, Other (specify)",Not discussed / implicit only,Resistant/discouraging
15,Managerial/bureaucratic leadership,Community relations / politics,Not discussed / implicit only,"Staff resistance / morale problems, Student social-emotional harm / “not ready” narratives, Other (specify)",Not discussed / implicit only,Resistant/discouraging
16,Mixed/multiple models,Equity & inclusion,Access/representation: equity ≈ diversifying who gets into advanced/valued opportunities,"Perceived unfairness / favoritism / elitism optics, Not discussed",Access/representation: equity ≈ diversifying who gets into advanced/valued opportunities,supportive of acceleration
17,Other (specify in notes),Climate & culture / relationships,Targeted support: equity ≈ giving more help/resources to those who need more,Student social-emotional harm / “not ready” narratives,Targeted support: equity ≈ giving more help/resources to those who need more,supportive of acceleration
18,"Social-justice / equity-centered leadership, Mixed/multiple models",Teaching & learning / student achievement,Structural/critical: equity ≈ changing systems that reproduce inequality,Not discussed,Structural/critical: equity ≈ changing systems that reproduce inequality,Ambiguous or not clearly implied
19,street-level bureaucracy / sensemaking,Community relations / politics,Structural/critical: equity ≈ changing systems that reproduce inequality,Not discussed,Structural/critical: equity ≈ changing systems that reproduce inequality,"Cautious/conditional (trial periods, heavy monitoring, lots of safeguards)"
20,Other (specify in notes),Legal compliance / risk management,Not discussed / implicit only,Not discussed,Not discussed / implicit only,Ambiguous or not clearly implied
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
